Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
72	:	1761076963.125	     0.506	0	1773	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-03-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-03-00000.npy
76	:	1761076963.327	     0.327	0	2229	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-53-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-53-00000.npy
75	:	1761076963.300	     0.403	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-27-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-27-00000.npy
77	:	1761076963.352	     0.543	0	1241	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-54-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-54-00000.npy
78	:	1761076963.554	     0.348	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-56-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-56-00000.npy
80	:	1761076963.581	     0.402	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-02-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-02-00000.npy
82	:	1761076963.657	     0.356	0	937	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-23-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-23-00000.npy
79	:	1761076963.578	     0.435	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-37-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-37-00000.npy
81	:	1761076963.635	     0.447	0	1241	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-80-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-80-00000.npy
83	:	1761076963.707	     0.473	0	1849	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-10-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-10-00000.npy
86	:	1761076963.987	     0.214	0	1013	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-45-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-45-00000.npy
73	:	1761076963.149	     1.077	0	936	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-82-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-82-00000.npy
88	:	1761076964.023	     0.234	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-77-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-77-00000.npy
84	:	1761076963.899	     0.436	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-48-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-48-00000.npy
85	:	1761076963.905	     0.532	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-55-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-55-00000.npy
87	:	1761076964.019	     0.470	0	861	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-85-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-85-00000.npy
91	:	1761076964.205	     0.305	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-47-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-47-00000.npy
89	:	1761076964.085	     0.517	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-79-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-79-00000.npy
90	:	1761076964.184	     0.466	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-71-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-71-00000.npy
93	:	1761076964.262	     0.454	0	1013	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-66-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-66-00000.npy
92	:	1761076964.230	     0.490	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-89-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-89-00000.npy
95	:	1761076964.441	     0.404	0	1089	0	0	download_file 'http://olmo-data.org/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-04-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/gsm_MIND/clean_stop/dolma2-tokenizer/part-04-00000.npy
